"file";"ID";"N";"M";"SD";"r";"method";"result"
"N156_M3_SD2_r0.5_M7U3X1I2";"M7U3X1I2";156;3;2;0.5;"k-plus-correlation";"3, 3, 1, 2, 1, 2, 2, 3, 2, 3, 3, 1, 1, 3, 3, 3, 3, 1, 3, 2, 3, 3, 1, 1, 2, 2, 3, 1, 2, 2, 3, 2, 1, 2, 2, 2, 3, 2, 3, 3, 2, 1, 1, 3, 2, 1, 2, 2, 1, 1, 1, 1, 3, 2, 2, 2, 2, 3, 3, 1, 2, 2, 2, 3, 1, 3, 3, 3, 2, 1, 1, 1, 2, 2, 2, 2, 3, 2, 2, 2, 1, 3, 1, 3, 2, 3, 3, 3, 2, 3, 1, 2, 1, 3, 1, 1, 3, 3, 1, 2, 3, 2, 1, 3, 3, 1, 2, 3, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 3, 3, 3, 3, 1, 1, 3, 2, 3, 1, 1, 1, 1, 2, 3, 2, 3, 1, 1, 1, 2, 3, 1, 1, 2, 1, 1, 3, 1, 2, 1, 1, 1, 3, 2, 3"
"N156_M3_SD2_r0.5_M7U3X1I2";"M7U3X1I2";156;3;2;0.5;"random";"1, 2, 1, 3, 1, 2, 3, 2, 2, 2, 1, 2, 3, 3, 1, 2, 3, 3, 1, 2, 3, 2, 1, 1, 3, 2, 2, 3, 3, 1, 3, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 2, 3, 3, 1, 3, 2, 2, 1, 2, 3, 3, 1, 2, 2, 1, 1, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2, 3, 1, 3, 2, 3, 2, 1, 1, 3, 3, 2, 1, 1, 3, 1, 3, 3, 3, 3, 1, 3, 3, 1, 1, 3, 3, 1, 2, 2, 3, 2, 2, 3, 2, 1, 1, 3, 2, 2, 3, 1, 2, 3, 3, 1, 3, 1, 3, 3, 3, 1, 2, 1, 3, 3, 1, 1, 2, 3, 1, 3, 2, 3, 1, 3, 1, 3, 1, 2, 1, 1, 2, 1, 2, 3, 1, 2, 1, 3, 1, 1, 1, 2, 1, 3, 2"
"N72_M4_SD1_r0.2_H1I6R8O2";"H1I6R8O2";72;4;1;0.2;"diversity";"2, 1, 3, 3, 1, 3, 1, 2, 1, 3, 3, 2, 2, 1, 3, 3, 3, 1, 2, 2, 1, 1, 2, 1, 3, 2, 1, 1, 3, 2, 3, 2, 3, 3, 1, 2, 3, 2, 2, 2, 1, 3, 2, 3, 2, 1, 1, 1, 1, 3, 3, 2, 2, 1, 3, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 3, 3, 3, 1"
"N72_M4_SD1_r0.2_H1I6R8O2";"H1I6R8O2";72;4;1;0.2;"k-means";"2, 1, 2, 3, 2, 2, 3, 3, 1, 1, 3, 3, 1, 2, 1, 1, 1, 3, 3, 2, 1, 2, 1, 3, 1, 3, 1, 1, 2, 3, 3, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 1, 3, 1, 2, 1, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 1, 2, 1, 3, 3, 3, 1, 3, 3, 2, 3, 2, 2, 1"
"N72_M4_SD1_r0.2_H1I6R8O2";"H1I6R8O2";72;4;1;0.2;"k-plus";"2, 3, 3, 1, 1, 1, 2, 1, 2, 3, 1, 3, 1, 3, 3, 1, 3, 2, 2, 2, 2, 2, 1, 1, 2, 2, 3, 3, 3, 1, 2, 2, 3, 3, 3, 3, 3, 1, 2, 1, 1, 2, 3, 1, 3, 2, 3, 2, 1, 1, 3, 2, 2, 2, 1, 1, 2, 1, 2, 3, 3, 1, 3, 1, 3, 1, 2, 2, 1, 1, 2, 3"
"N72_M4_SD1_r0.2_H1I6R8O2";"H1I6R8O2";72;4;1;0.2;"k-plus-skew-kurtosis";"3, 1, 3, 3, 2, 1, 1, 2, 2, 1, 1, 1, 3, 2, 2, 2, 2, 3, 3, 2, 1, 1, 1, 1, 1, 3, 1, 3, 2, 2, 3, 1, 3, 1, 3, 2, 3, 1, 1, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 3, 1, 1, 3, 3, 1, 2, 3, 3, 3, 1, 3, 3, 3"
"N72_M4_SD1_r0.2_H1I6R8O2";"H1I6R8O2";72;4;1;0.2;"k-plus-correlation";"3, 2, 3, 3, 1, 2, 1, 2, 2, 1, 2, 3, 2, 3, 3, 1, 2, 3, 1, 1, 1, 3, 2, 2, 1, 2, 2, 1, 3, 2, 1, 1, 1, 3, 3, 2, 2, 2, 3, 3, 2, 1, 3, 1, 3, 1, 3, 3, 3, 3, 2, 3, 1, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 3, 2, 1, 1, 1, 3, 3, 3, 1"
"N72_M4_SD1_r0.2_H1I6R8O2";"H1I6R8O2";72;4;1;0.2;"random";"1, 2, 3, 2, 3, 3, 1, 1, 3, 3, 2, 3, 2, 1, 3, 2, 1, 3, 3, 2, 3, 1, 1, 1, 3, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 2, 3, 1, 3, 1, 3, 1, 2, 3, 3, 3, 2, 1, 2, 2, 2, 1, 2, 1, 3, 1, 2, 1, 1, 3, 1, 1, 2, 1, 2, 2, 2, 1, 3, 2, 1, 3"
"N192_M5_SD3_r0.1_J2P9H4F0";"J2P9H4F0";192;5;3;0.1;"diversity";"3, 3, 3, 3, 3, 1, 2, 2, 1, 2, 1, 1, 3, 2, 1, 1, 3, 3, 3, 1, 1, 3, 1, 1, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 1, 2, 1, 3, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 1, 3, 1, 3, 2, 2, 3, 1, 2, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 3, 1, 3, 1, 2, 1, 1, 1, 3, 3, 1, 3, 2, 3, 2, 3, 2, 3, 3, 2, 1, 1, 2, 2, 3, 2, 1, 2, 1, 1, 3, 1, 3, 2, 2, 2, 2, 1, 3, 2, 2, 3, 2, 2, 2, 1, 1, 1, 2, 1, 3, 2, 3, 3, 2, 3, 2, 1, 1, 1, 3, 3, 3, 3, 2, 3, 3, 2, 1, 2, 2, 1, 1, 3, 1, 1, 3, 3, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 3, 3, 1, 3, 3, 1, 1, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 1, 1, 3"
"N192_M5_SD3_r0.1_J2P9H4F0";"J2P9H4F0";192;5;3;0.1;"k-means";"1, 3, 1, 1, 1, 1, 1, 2, 2, 3, 3, 1, 2, 2, 1, 3, 2, 2, 2, 1, 3, 2, 1, 3, 1, 1, 1, 3, 1, 2, 2, 1, 2, 2, 3, 1, 2, 1, 3, 1, 3, 3, 2, 3, 3, 1, 3, 1, 3, 2, 2, 3, 2, 3, 1, 2, 2, 3, 3, 3, 2, 1, 3, 3, 1, 2, 1, 2, 3, 1, 3, 3, 2, 2, 2, 3, 2, 1, 2, 2, 3, 1, 2, 1, 1, 2, 3, 1, 1, 3, 2, 3, 2, 2, 2, 2, 1, 3, 2, 1, 2, 3, 2, 3, 1, 1, 2, 3, 2, 2, 1, 2, 3, 3, 1, 3, 1, 2, 1, 1, 2, 1, 2, 2, 1, 3, 1, 3, 1, 3, 2, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 3, 3, 2, 1, 1, 1, 2, 2, 2, 2, 3, 1, 2, 2, 3, 2, 1, 1, 3, 1, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 1, 3, 1, 2, 3, 1, 2, 3, 2, 2, 2, 2, 3, 1, 3"
"N192_M5_SD3_r0.1_J2P9H4F0";"J2P9H4F0";192;5;3;0.1;"k-plus";"3, 3, 2, 3, 2, 1, 2, 1, 3, 1, 1, 2, 1, 1, 2, 3, 2, 3, 1, 3, 3, 3, 1, 2, 2, 1, 3, 1, 3, 1, 1, 3, 2, 2, 2, 3, 2, 1, 2, 3, 1, 3, 3, 2, 3, 1, 1, 1, 2, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 2, 1, 1, 2, 1, 2, 3, 1, 3, 3, 1, 1, 3, 1, 2, 3, 1, 2, 2, 2, 3, 3, 2, 1, 1, 1, 1, 1, 3, 3, 3, 3, 2, 1, 3, 3, 3, 1, 3, 1, 3, 1, 1, 3, 1, 3, 2, 3, 2, 3, 3, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 3, 1, 3, 3, 1, 1, 3, 1, 3, 3, 2, 2, 1, 1, 1, 3, 1, 2, 2, 1, 2, 3, 2, 2, 1, 1, 3, 3, 1, 3, 3, 1, 1, 1, 1, 3, 3, 2"
"N192_M5_SD3_r0.1_J2P9H4F0";"J2P9H4F0";192;5;3;0.1;"k-plus-skew-kurtosis";"3, 2, 3, 3, 3, 1, 3, 2, 1, 2, 2, 1, 3, 1, 3, 3, 3, 1, 2, 3, 3, 3, 1, 2, 1, 2, 2, 1, 1, 1, 1, 3, 3, 2, 2, 2, 2, 1, 2, 1, 2, 3, 1, 3, 1, 1, 3, 1, 3, 1, 3, 2, 1, 3, 3, 1, 3, 2, 2, 2, 3, 2, 3, 2, 3, 1, 1, 1, 1, 3, 2, 2, 1, 2, 2, 3, 3, 3, 3, 3, 3, 2, 1, 1, 1, 3, 1, 3, 1, 1, 2, 3, 1, 1, 2, 2, 2, 3, 3, 2, 1, 1, 2, 3, 3, 2, 1, 2, 3, 2, 3, 2, 3, 2, 1, 3, 3, 2, 2, 2, 1, 3, 2, 2, 2, 1, 2, 1, 3, 2, 1, 2, 3, 1, 2, 1, 3, 1, 3, 2, 2, 3, 1, 1, 3, 2, 3, 2, 2, 1, 2, 3, 2, 3, 1, 1, 2, 3, 1, 3, 3, 1, 2, 1, 3, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 3, 2, 1, 1, 1, 2, 2, 3, 1, 2, 3"
"N192_M5_SD3_r0.1_J2P9H4F0";"J2P9H4F0";192;5;3;0.1;"k-plus-correlation";"3, 3, 3, 3, 1, 1, 3, 3, 3, 1, 1, 2, 1, 3, 2, 1, 1, 3, 2, 3, 2, 2, 3, 1, 2, 2, 3, 3, 1, 2, 3, 1, 2, 3, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 3, 2, 1, 3, 1, 2, 1, 2, 3, 2, 3, 3, 2, 3, 1, 3, 2, 2, 2, 2, 1, 2, 3, 3, 1, 2, 2, 2, 3, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 3, 3, 1, 3, 1, 1, 2, 1, 2, 1, 3, 1, 2, 3, 2, 2, 3, 1, 1, 3, 3, 2, 1, 2, 2, 3, 3, 3, 1, 2, 3, 2, 1, 1, 2, 1, 2, 3, 2, 3, 2, 2, 1, 3, 3, 1, 3, 3, 2, 1, 3, 3, 1, 2, 2, 3, 1, 1, 3, 3, 3, 1, 3, 1, 2, 3, 1, 2, 3, 1, 1, 1, 2, 2, 2, 3, 2, 1, 3, 2, 3, 2, 3, 1, 3, 1, 2, 1, 2, 2, 2, 3, 2, 1, 3, 3, 1, 1, 3, 3, 2, 3"
"N192_M5_SD3_r0.1_J2P9H4F0";"J2P9H4F0";192;5;3;0.1;"random";"2, 1, 1, 1, 2, 1, 1, 3, 2, 2, 3, 2, 2, 2, 3, 3, 3, 1, 1, 1, 1, 2, 1, 1, 2, 3, 1, 3, 3, 3, 1, 2, 1, 1, 3, 2, 3, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 3, 1, 1, 2, 2, 2, 3, 2, 3, 3, 1, 3, 2, 2, 2, 1, 2, 2, 1, 3, 2, 3, 2, 1, 3, 1, 3, 3, 3, 1, 2, 2, 2, 1, 2, 3, 1, 3, 1, 1, 2, 2, 2, 3, 1, 3, 3, 2, 2, 3, 1, 3, 2, 2, 3, 1, 2, 3, 1, 3, 3, 3, 1, 1, 1, 1, 2, 3, 2, 2, 3, 3, 1, 2, 3, 2, 3, 3, 2, 1, 3, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1, 3, 3, 1, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2, 3, 1, 3, 1, 1, 1, 2, 1, 3, 1, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 1, 3, 3, 1, 1, 3, 1, 3, 2, 3, 2, 3, 3, 3, 3, 1, 1, 2"
"N156_M2_SD1_r0.4_F0Q2P9Y1";"F0Q2P9Y1";156;2;1;0.4;"diversity";"3, 2, 3, 2, 1, 2, 2, 2, 1, 2, 3, 1, 1, 1, 1, 3, 2, 2, 1, 2, 2, 1, 3, 2, 2, 2, 1, 1, 1, 1, 3, 2, 1, 3, 2, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 1, 3, 1, 1, 2, 3, 3, 3, 3, 2, 3, 2, 1, 3, 1, 2, 2, 2, 2, 2, 1, 2, 2, 3, 3, 2, 2, 3, 1, 1, 3, 3, 2, 3, 1, 1, 1, 3, 2, 3, 2, 2, 1, 1, 1, 2, 1, 3, 3, 3, 1, 2, 3, 3, 1, 1, 2, 3, 2, 3, 1, 2, 1, 3, 2, 1, 1, 1, 1, 2, 2, 2, 1, 3, 1, 2, 3, 1, 1, 3, 1, 1, 3, 3, 2, 3, 2, 2, 1, 2, 2, 3, 1, 2, 1, 2, 2, 3, 1, 2, 3, 1, 1, 3, 3, 1, 1, 2"
"N156_M2_SD1_r0.4_F0Q2P9Y1";"F0Q2P9Y1";156;2;1;0.4;"k-means";"2, 3, 3, 2, 3, 3, 1, 1, 1, 3, 1, 2, 3, 2, 2, 3, 2, 3, 3, 3, 1, 1, 2, 3, 2, 2, 1, 3, 1, 1, 2, 2, 2, 3, 1, 1, 2, 1, 2, 2, 1, 3, 2, 1, 3, 2, 1, 1, 3, 3, 3, 1, 3, 1, 2, 3, 3, 2, 1, 2, 2, 3, 2, 1, 3, 2, 3, 2, 3, 3, 1, 3, 1, 1, 3, 2, 1, 3, 2, 2, 2, 3, 1, 3, 2, 2, 2, 2, 2, 1, 2, 1, 3, 1, 2, 1, 1, 1, 3, 1, 1, 3, 2, 1, 3, 3, 2, 1, 1, 3, 1, 2, 3, 2, 1, 1, 1, 1, 2, 1, 3, 1, 3, 1, 3, 2, 1, 2, 1, 1, 2, 2, 2, 2, 3, 1, 3, 3, 1, 3, 3, 1, 2, 1, 3, 3, 2, 3, 3, 3, 2, 2, 1, 2, 2, 3"
"N156_M2_SD1_r0.4_F0Q2P9Y1";"F0Q2P9Y1";156;2;1;0.4;"k-plus";"2, 3, 3, 2, 3, 3, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1, 3, 2, 1, 1, 3, 3, 3, 1, 1, 3, 3, 3, 2, 3, 3, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 3, 2, 3, 3, 1, 1, 3, 3, 2, 2, 1, 2, 1, 3, 3, 1, 3, 3, 1, 2, 2, 1, 3, 1, 3, 2, 3, 3, 2, 2, 3, 2, 2, 1, 2, 3, 1, 3, 2, 3, 2, 3, 2, 1, 1, 3, 2, 1, 3, 2, 1, 1, 2, 3, 2, 2, 1, 3, 1, 1, 2, 3, 2, 1, 2, 1, 1, 2, 2, 1, 3, 1, 1, 2, 2, 1, 3, 2, 2, 2, 1, 1, 2, 1, 1, 3, 3, 1, 1, 3, 1, 3, 3, 1, 1, 2, 3, 2, 1, 3, 1, 3, 2, 3, 2, 3, 2, 2, 2, 3, 3, 1, 3"
"N156_M2_SD1_r0.4_F0Q2P9Y1";"F0Q2P9Y1";156;2;1;0.4;"k-plus-skew-kurtosis";"3, 3, 1, 1, 3, 3, 1, 3, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 3, 2, 2, 1, 2, 3, 2, 2, 3, 2, 3, 1, 2, 2, 1, 3, 3, 1, 2, 3, 3, 3, 1, 2, 1, 2, 2, 3, 1, 2, 3, 1, 3, 2, 3, 3, 1, 2, 1, 3, 1, 3, 1, 3, 3, 2, 2, 2, 3, 1, 1, 3, 2, 3, 1, 3, 2, 2, 1, 2, 2, 1, 3, 3, 2, 2, 1, 2, 3, 3, 2, 3, 1, 3, 3, 1, 2, 1, 3, 1, 1, 2, 2, 3, 2, 1, 3, 1, 3, 3, 1, 2, 3, 3, 1, 3, 3, 1, 1, 1, 1, 2, 1, 2, 1, 3, 2, 1, 1, 3, 1, 1, 1, 2, 2, 2, 3, 1, 3, 2, 3, 2, 1, 2, 3, 3, 3, 2, 2, 2, 2, 3, 2, 1, 1, 1, 1"
"N156_M2_SD1_r0.4_F0Q2P9Y1";"F0Q2P9Y1";156;2;1;0.4;"k-plus-correlation";"2, 2, 3, 2, 3, 1, 2, 3, 3, 3, 2, 3, 2, 3, 3, 1, 1, 3, 2, 2, 1, 1, 2, 3, 1, 2, 2, 3, 1, 2, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 2, 3, 2, 2, 1, 2, 1, 2, 1, 1, 2, 3, 3, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 2, 1, 3, 1, 3, 3, 2, 2, 2, 3, 2, 1, 3, 3, 3, 1, 3, 1, 1, 1, 3, 3, 2, 1, 2, 2, 3, 2, 2, 3, 3, 1, 1, 1, 2, 1, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 3, 3, 2, 3, 1, 1, 1, 3, 2, 2, 2, 3, 2, 1, 1, 3, 2, 1, 1, 3, 2, 3, 1, 2, 2, 1, 3, 1, 1, 2, 1, 3, 1, 2, 1, 3"
"N156_M2_SD1_r0.4_F0Q2P9Y1";"F0Q2P9Y1";156;2;1;0.4;"random";"1, 2, 2, 2, 2, 2, 2, 3, 1, 1, 1, 2, 3, 3, 1, 3, 2, 2, 3, 1, 2, 2, 1, 1, 1, 1, 3, 1, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 3, 1, 3, 2, 2, 1, 1, 3, 3, 1, 2, 2, 3, 1, 1, 1, 3, 2, 2, 2, 2, 1, 3, 1, 1, 2, 1, 2, 1, 3, 1, 1, 1, 2, 3, 2, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 2, 3, 1, 3, 2, 2, 3, 3, 1, 3, 2, 1, 3, 3, 2, 3, 1, 3, 3, 1, 1, 1, 2, 2, 3, 2, 1, 1, 2, 3, 1, 1, 3, 1, 3, 2, 3, 1, 1, 2, 2, 2, 3, 1, 3, 2, 2, 3, 3, 2, 1, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3"
