"file";"ID";"N";"M";"SD";"method";"result"
"N156_M7_SD2_r0.3_K2Q3V4S0";"K2Q3V4S0";"156";"7";0.3;"kplus-correlation";"2, 1, 4, 1, 4, 1, 1, 4, 1, 4, 4, 4, 2, 2, 3, 2, 3, 3, 2, 2, 4, 1, 4, 2, 2, 4, 4, 4, 3, 2, 2, 2, 2, 3, 2, 2, 1, 1, 1, 2, 1, 4, 2, 3, 4, 3, 1, 4, 3, 1, 2, 3, 2, 1, 4, 4, 3, 2, 2, 2, 4, 3, 3, 2, 4, 4, 4, 4, 1, 4, 3, 4, 1, 2, 3, 1, 4, 3, 2, 1, 3, 2, 4, 4, 4, 2, 3, 1, 3, 2, 2, 1, 3, 2, 3, 1, 4, 1, 3, 1, 3, 4, 2, 1, 4, 1, 1, 4, 2, 2, 4, 2, 1, 4, 3, 3, 4, 4, 2, 3, 1, 3, 2, 2, 2, 1, 3, 1, 3, 3, 1, 1, 1, 2, 3, 3, 3, 1, 3, 4, 1, 3, 1, 4, 3, 1, 1, 3, 4, 4, 1, 1, 3, 3, 2, 3"
"N156_M7_SD2_r0.3_K2Q3V4S0";"K2Q3V4S0";"156";"7";0.3;"random";"3, 4, 3, 1, 4, 3, 1, 4, 2, 2, 1, 4, 3, 3, 2, 1, 3, 2, 4, 4, 4, 3, 1, 1, 2, 4, 2, 3, 1, 3, 2, 3, 1, 3, 1, 4, 2, 3, 4, 2, 2, 3, 2, 3, 1, 4, 2, 4, 2, 1, 1, 1, 4, 3, 3, 2, 1, 2, 4, 2, 4, 2, 3, 2, 4, 1, 2, 3, 2, 3, 4, 1, 3, 4, 3, 3, 1, 3, 1, 3, 2, 4, 3, 3, 4, 2, 3, 2, 4, 3, 1, 3, 1, 4, 2, 4, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 4, 2, 1, 3, 4, 4, 1, 4, 2, 4, 3, 2, 1, 4, 4, 1, 2, 3, 2, 1, 3, 4, 4, 4, 3, 4, 1, 4, 2, 3, 4, 2, 4, 2, 1, 2, 3, 3, 4, 2, 2, 2, 3, 1, 2"
"N168_M6_SD1_r0.1_H8O1M9J7";"H8O1M9J7";"168";"6";0.1;"diversity";"4, 3, 3, 2, 4, 2, 4, 3, 4, 3, 2, 2, 1, 4, 1, 4, 3, 4, 2, 3, 3, 2, 4, 4, 1, 1, 1, 3, 2, 2, 3, 3, 1, 2, 4, 2, 1, 1, 2, 1, 3, 1, 2, 4, 2, 3, 2, 2, 4, 4, 1, 4, 2, 1, 3, 3, 4, 4, 1, 3, 2, 1, 2, 2, 3, 4, 3, 1, 3, 1, 3, 1, 3, 1, 2, 3, 2, 3, 4, 1, 3, 1, 1, 4, 3, 3, 3, 2, 3, 1, 3, 1, 3, 1, 2, 4, 2, 4, 3, 4, 4, 3, 3, 4, 2, 3, 4, 2, 2, 4, 4, 1, 1, 4, 1, 2, 3, 1, 2, 1, 1, 4, 1, 2, 4, 2, 1, 4, 2, 3, 4, 2, 1, 4, 4, 2, 3, 4, 2, 1, 4, 2, 4, 2, 1, 4, 1, 3, 2, 3, 1, 2, 2, 1, 2, 3, 1, 2, 4, 3, 4, 4, 1, 1, 1, 4, 3, 3"
"N168_M6_SD1_r0.1_H8O1M9J7";"H8O1M9J7";"168";"6";0.1;"k-means";"4, 3, 2, 4, 4, 3, 2, 1, 4, 2, 3, 1, 3, 4, 2, 3, 4, 3, 1, 3, 1, 2, 3, 1, 1, 4, 3, 1, 1, 2, 3, 3, 1, 3, 4, 1, 2, 4, 1, 2, 4, 2, 3, 4, 4, 4, 1, 3, 4, 1, 4, 3, 2, 1, 3, 2, 1, 2, 1, 4, 1, 4, 3, 3, 3, 1, 4, 1, 2, 4, 4, 4, 4, 2, 4, 1, 4, 3, 2, 1, 2, 3, 4, 3, 2, 4, 2, 3, 2, 2, 2, 4, 1, 2, 1, 4, 1, 2, 1, 1, 2, 4, 1, 2, 4, 3, 3, 1, 1, 2, 1, 2, 3, 4, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 2, 3, 1, 4, 3, 1, 1, 3, 4, 3, 2, 4, 3, 2, 3, 2, 2, 2, 4, 3, 2, 3, 1, 4, 1, 1, 3, 3, 2, 3, 1, 2, 3, 2, 3, 2, 4, 2, 3, 1, 1, 4, 4, 1"
"N168_M6_SD1_r0.1_H8O1M9J7";"H8O1M9J7";"168";"6";0.1;"kplus";"4, 1, 4, 1, 3, 3, 2, 1, 2, 3, 4, 3, 2, 4, 2, 3, 1, 3, 4, 4, 1, 2, 4, 2, 4, 3, 1, 3, 3, 2, 2, 1, 2, 3, 4, 1, 1, 1, 2, 1, 4, 1, 3, 2, 3, 2, 1, 4, 4, 4, 4, 2, 2, 1, 2, 3, 1, 1, 2, 4, 3, 2, 4, 4, 4, 1, 4, 1, 3, 3, 3, 4, 3, 3, 2, 1, 3, 3, 1, 2, 1, 1, 3, 2, 3, 3, 3, 4, 3, 4, 2, 2, 4, 1, 4, 4, 4, 3, 3, 1, 2, 3, 1, 3, 1, 2, 1, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 2, 3, 2, 1, 4, 2, 4, 2, 1, 2, 4, 1, 4, 1, 1, 1, 3, 2, 3, 2, 1, 1, 3, 1, 1, 4, 4, 2, 1, 1, 2, 1, 2, 2, 1, 3, 2, 2, 3, 2, 2, 4, 4, 2, 2, 1, 3, 2, 4, 4, 3"
"N168_M6_SD1_r0.1_H8O1M9J7";"H8O1M9J7";"168";"6";0.1;"kplus-skew-kurtosis";"3, 2, 1, 3, 4, 2, 2, 2, 1, 4, 3, 4, 2, 4, 3, 4, 3, 1, 1, 3, 2, 4, 1, 3, 1, 2, 3, 4, 3, 4, 4, 2, 3, 4, 3, 2, 4, 4, 2, 1, 1, 1, 3, 4, 4, 2, 2, 1, 3, 1, 1, 3, 3, 4, 2, 3, 2, 3, 1, 4, 1, 2, 1, 4, 2, 4, 2, 2, 2, 2, 3, 2, 3, 4, 3, 1, 4, 4, 3, 1, 1, 4, 4, 3, 3, 4, 3, 1, 1, 3, 4, 1, 3, 4, 4, 1, 3, 1, 2, 2, 1, 3, 1, 3, 3, 3, 2, 4, 2, 4, 1, 1, 3, 1, 4, 2, 2, 1, 3, 2, 4, 1, 2, 1, 4, 4, 1, 4, 2, 4, 3, 3, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 3, 4, 1, 1, 1, 2, 2, 2, 1, 4, 2, 3, 3, 4, 4, 1, 3, 3, 1, 1, 4, 4, 2, 4, 3, 3"
"N168_M6_SD1_r0.1_H8O1M9J7";"H8O1M9J7";"168";"6";0.1;"kplus-correlation";"1, 1, 3, 3, 3, 2, 4, 3, 1, 2, 4, 4, 1, 3, 4, 1, 2, 1, 2, 2, 1, 1, 2, 2, 3, 1, 2, 3, 1, 2, 1, 3, 3, 3, 4, 3, 2, 2, 2, 3, 4, 2, 2, 4, 4, 3, 4, 3, 1, 1, 2, 3, 2, 4, 4, 3, 2, 1, 3, 2, 4, 1, 1, 1, 3, 4, 2, 2, 1, 2, 3, 2, 2, 1, 4, 3, 4, 3, 3, 3, 1, 2, 3, 3, 4, 1, 3, 2, 1, 4, 4, 3, 1, 4, 1, 3, 4, 2, 2, 4, 3, 1, 2, 2, 4, 1, 1, 4, 3, 2, 1, 1, 1, 3, 4, 2, 4, 2, 1, 3, 1, 1, 1, 3, 2, 4, 3, 4, 1, 4, 2, 1, 3, 1, 4, 2, 4, 3, 3, 2, 4, 1, 4, 4, 2, 2, 2, 4, 3, 4, 3, 4, 4, 1, 4, 1, 4, 3, 1, 3, 4, 2, 2, 2, 4, 4, 1, 3"
"N168_M6_SD1_r0.1_H8O1M9J7";"H8O1M9J7";"168";"6";0.1;"random";"4, 4, 2, 2, 1, 2, 2, 1, 3, 1, 4, 4, 3, 1, 4, 1, 1, 4, 4, 3, 4, 2, 1, 2, 2, 2, 1, 1, 4, 2, 1, 1, 3, 3, 4, 4, 1, 4, 4, 2, 2, 4, 3, 3, 2, 4, 3, 1, 3, 3, 4, 1, 2, 1, 3, 3, 1, 3, 3, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 4, 3, 2, 1, 3, 4, 3, 2, 2, 1, 2, 3, 2, 3, 4, 3, 3, 3, 1, 2, 3, 4, 4, 3, 4, 3, 4, 2, 3, 3, 1, 4, 2, 2, 2, 4, 1, 2, 3, 3, 3, 3, 1, 4, 4, 4, 1, 2, 4, 2, 3, 3, 4, 1, 2, 1, 3, 1, 3, 1, 4, 2, 4, 4, 2, 1, 4, 4, 4, 1, 4, 4, 3, 4, 1, 1, 2, 1, 2, 2, 4, 3, 1, 1, 1, 3, 3, 1, 2, 4, 1, 4, 3, 1, 1, 1"
"N264_M3_SD1_r0.5_I5S9Z4V1";"I5S9Z4V1";"264";"3";0.5;"diversity";"3, 4, 1, 4, 2, 4, 2, 1, 4, 2, 2, 2, 2, 3, 2, 1, 4, 2, 3, 4, 4, 3, 4, 2, 3, 2, 2, 2, 3, 1, 4, 4, 2, 1, 3, 1, 2, 4, 1, 2, 3, 2, 1, 4, 2, 2, 4, 1, 4, 3, 2, 2, 4, 3, 3, 1, 1, 3, 4, 3, 2, 3, 4, 1, 4, 1, 1, 3, 3, 2, 3, 3, 2, 1, 3, 4, 1, 2, 4, 3, 2, 1, 4, 2, 1, 3, 1, 1, 3, 2, 1, 1, 2, 2, 1, 2, 3, 3, 4, 1, 3, 4, 3, 3, 1, 1, 3, 4, 2, 3, 4, 2, 1, 1, 2, 1, 4, 3, 4, 2, 4, 2, 1, 3, 1, 2, 2, 4, 3, 4, 2, 2, 1, 2, 1, 3, 2, 3, 3, 3, 1, 3, 2, 3, 1, 2, 2, 3, 3, 4, 1, 4, 1, 2, 4, 4, 4, 3, 1, 1, 4, 4, 2, 2, 3, 1, 3, 2, 2, 4, 3, 2, 3, 4, 4, 3, 2, 4, 1, 4, 4, 3, 4, 3, 2, 3, 4, 4, 3, 1, 4, 4, 2, 2, 2, 1, 3, 4, 1, 4, 2, 1, 4, 1, 3, 1, 3, 4, 4, 4, 3, 1, 1, 1, 1, 1, 1, 3, 1, 3, 4, 4, 4, 3, 1, 1, 4, 1, 2, 2, 2, 4, 1, 4, 4, 1, 2, 1, 3, 1, 3, 3, 3, 1, 1, 4, 2, 4, 1, 2, 2, 4, 1, 3, 3, 1, 4, 4, 3, 2, 2, 3, 3, 2"
"N264_M3_SD1_r0.5_I5S9Z4V1";"I5S9Z4V1";"264";"3";0.5;"k-means";"4, 1, 3, 4, 1, 1, 2, 1, 1, 1, 1, 1, 4, 4, 3, 2, 1, 1, 2, 2, 3, 3, 4, 3, 3, 3, 1, 4, 1, 4, 1, 3, 4, 3, 3, 2, 4, 3, 3, 1, 1, 1, 1, 4, 1, 2, 4, 1, 4, 2, 1, 3, 3, 2, 4, 1, 1, 3, 3, 1, 3, 3, 2, 3, 4, 3, 1, 1, 1, 3, 3, 1, 3, 2, 3, 2, 2, 1, 3, 2, 2, 2, 2, 1, 3, 3, 2, 3, 4, 1, 4, 4, 2, 1, 3, 1, 2, 1, 4, 3, 4, 4, 3, 3, 2, 3, 4, 2, 2, 4, 4, 4, 2, 2, 2, 3, 1, 2, 3, 3, 4, 2, 2, 3, 1, 2, 2, 4, 1, 2, 2, 1, 4, 3, 4, 3, 1, 4, 1, 2, 4, 4, 4, 3, 1, 4, 4, 1, 4, 4, 1, 4, 3, 3, 4, 4, 2, 1, 1, 3, 2, 4, 1, 2, 1, 3, 3, 3, 2, 3, 4, 4, 4, 2, 1, 2, 4, 2, 4, 4, 1, 1, 1, 3, 2, 4, 4, 4, 2, 2, 1, 2, 4, 1, 1, 3, 1, 3, 1, 4, 4, 2, 2, 2, 1, 4, 2, 1, 3, 4, 3, 4, 1, 1, 2, 3, 1, 1, 3, 2, 2, 3, 1, 3, 4, 2, 3, 1, 3, 2, 2, 4, 3, 2, 4, 2, 1, 2, 3, 4, 2, 4, 3, 4, 2, 4, 2, 1, 3, 2, 2, 3, 4, 2, 2, 4, 3, 2, 2, 3, 4, 3, 1, 4"
"N264_M3_SD1_r0.5_I5S9Z4V1";"I5S9Z4V1";"264";"3";0.5;"kplus";"1, 2, 4, 3, 3, 3, 1, 1, 2, 2, 2, 3, 2, 4, 4, 4, 4, 4, 2, 2, 1, 3, 4, 2, 4, 3, 1, 4, 1, 1, 4, 2, 4, 3, 1, 1, 3, 3, 1, 1, 4, 4, 2, 3, 2, 3, 2, 3, 2, 1, 3, 3, 1, 1, 4, 1, 4, 4, 1, 2, 1, 2, 1, 1, 3, 4, 1, 4, 3, 3, 1, 2, 2, 4, 4, 1, 1, 3, 4, 2, 4, 3, 2, 2, 4, 1, 1, 1, 4, 1, 4, 1, 3, 4, 2, 2, 4, 3, 2, 1, 1, 1, 4, 2, 4, 1, 2, 1, 2, 1, 2, 1, 4, 4, 2, 4, 4, 4, 3, 3, 3, 2, 4, 2, 3, 2, 3, 2, 4, 4, 2, 3, 1, 4, 1, 1, 1, 3, 2, 2, 2, 2, 2, 3, 3, 3, 1, 3, 1, 4, 3, 3, 4, 4, 4, 3, 2, 3, 1, 2, 1, 1, 1, 1, 4, 2, 1, 4, 2, 2, 4, 2, 3, 2, 3, 3, 3, 2, 4, 3, 3, 3, 3, 4, 2, 3, 2, 2, 4, 1, 1, 1, 3, 3, 4, 4, 3, 3, 2, 2, 3, 1, 3, 4, 2, 2, 2, 1, 1, 1, 3, 4, 4, 4, 1, 4, 4, 4, 4, 4, 2, 4, 1, 3, 2, 2, 2, 4, 3, 4, 3, 1, 3, 4, 3, 3, 2, 3, 3, 3, 3, 1, 2, 2, 2, 1, 1, 3, 4, 1, 1, 4, 3, 1, 2, 1, 1, 1, 3, 4, 2, 2, 2, 3"
"N264_M3_SD1_r0.5_I5S9Z4V1";"I5S9Z4V1";"264";"3";0.5;"kplus-skew-kurtosis";"2, 2, 3, 4, 4, 3, 3, 4, 4, 2, 3, 3, 2, 3, 4, 3, 1, 3, 2, 1, 2, 2, 3, 2, 2, 1, 3, 1, 4, 1, 2, 1, 1, 1, 3, 1, 4, 3, 4, 2, 4, 1, 1, 4, 4, 4, 1, 1, 3, 3, 3, 2, 3, 3, 1, 1, 4, 3, 3, 3, 2, 1, 4, 4, 3, 3, 2, 4, 3, 2, 2, 4, 4, 4, 4, 2, 2, 1, 2, 3, 2, 1, 1, 4, 2, 2, 3, 3, 3, 3, 3, 1, 2, 2, 4, 1, 2, 2, 1, 4, 3, 2, 3, 1, 2, 4, 3, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 3, 1, 4, 1, 3, 1, 4, 2, 2, 4, 4, 1, 4, 4, 3, 4, 2, 2, 4, 1, 4, 3, 2, 1, 3, 2, 1, 3, 1, 3, 1, 3, 2, 4, 3, 4, 2, 1, 2, 1, 1, 3, 4, 3, 1, 2, 2, 1, 4, 3, 1, 1, 3, 4, 4, 1, 4, 2, 4, 4, 4, 4, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 3, 3, 3, 1, 2, 1, 2, 1, 2, 1, 4, 4, 1, 1, 1, 4, 4, 3, 3, 1, 4, 1, 1, 4, 2, 4, 4, 3, 3, 2, 3, 4, 4, 4, 3, 4, 1, 1, 2, 4, 3, 2, 4, 3, 4, 3, 2, 3, 4, 1, 2, 1, 4, 4, 1, 3, 4, 3, 3, 2, 3, 3, 2, 1, 1, 4, 2, 3, 4, 3, 3, 4, 2"
"N264_M3_SD1_r0.5_I5S9Z4V1";"I5S9Z4V1";"264";"3";0.5;"kplus-correlation";"3, 1, 2, 1, 2, 3, 2, 4, 4, 1, 3, 4, 2, 2, 1, 2, 1, 4, 3, 1, 3, 1, 2, 3, 1, 1, 3, 4, 4, 2, 3, 1, 3, 2, 2, 3, 3, 4, 2, 4, 2, 4, 3, 2, 3, 4, 2, 1, 4, 3, 4, 4, 3, 2, 2, 3, 1, 2, 2, 3, 2, 2, 2, 4, 2, 1, 3, 2, 1, 1, 4, 3, 4, 2, 2, 4, 4, 1, 1, 4, 1, 2, 1, 1, 4, 2, 1, 1, 3, 1, 2, 1, 2, 4, 4, 1, 4, 2, 2, 3, 3, 2, 1, 4, 4, 1, 3, 3, 1, 1, 4, 4, 4, 2, 4, 1, 3, 4, 1, 1, 1, 4, 1, 3, 4, 3, 4, 3, 2, 2, 3, 4, 1, 4, 3, 3, 1, 2, 2, 1, 4, 1, 3, 2, 1, 2, 4, 3, 4, 2, 2, 2, 4, 1, 3, 4, 4, 3, 1, 3, 1, 1, 4, 4, 2, 4, 3, 2, 4, 1, 3, 1, 1, 1, 3, 3, 3, 4, 2, 2, 1, 1, 2, 3, 3, 1, 1, 2, 4, 2, 3, 2, 1, 2, 3, 3, 2, 2, 4, 1, 3, 3, 1, 4, 3, 2, 1, 2, 1, 4, 1, 3, 1, 2, 1, 4, 3, 1, 4, 3, 4, 3, 4, 2, 2, 2, 4, 3, 3, 3, 3, 2, 1, 4, 1, 3, 3, 4, 2, 2, 1, 1, 1, 4, 3, 4, 4, 4, 4, 3, 3, 1, 3, 4, 3, 3, 2, 4, 4, 2, 3, 2, 2, 4"
